Fecha,Avg_temp
12/10/21,52.7
13/10/21,53.1
14/10/21,52.3
15/10/21,51.6
16/10/21,53.9
17/10/21,53.4
18/10/21,59.3
19/10/21,63.2
20/10/21,63.3
21/10/21,56.8
22/10/21,49.8
23/10/21,47.8
24/10/21,50.6
25/10/21,57.3
26/10/21,52.2
27/10/21,53.5
28/10/21,52.2
29/10/21,57.9
30/10/21,56.2
31/10/21,55.6
01/11/21,51.6
02/11/21,47.1
03/11/21,46.7
04/11/21,43.7
05/11/21,45.7
06/11/21,41.3
07/11/21,51.8
08/11/21,48.5
09/11/21,45.8
10/11/21,43.1
11/11/21,45.4
12/11/21,47.7
13/11/21,54.4
14/11/21,53
15/11/21,46.5
16/11/21,46.6
17/11/21,48.9
18/11/21,44.5
19/11/21,42.8
20/11/21,42.4
21/11/21,43.6
22/11/21,44.4
23/11/21,41.8
24/11/21,40.3
25/11/21,38.5
26/11/21,42.7
27/11/21,40.9
28/11/21,39.5
29/11/21,37.8
30/11/21,41
01/12/21,50.5
02/12/21,40.8
03/12/21,44.3
04/12/21,49.9
05/12/21,43.4
06/12/21,44.7
07/12/21,46.1
08/12/21,40.6
09/12/21,42.3
10/12/21,47.6
11/12/21,46
12/12/21,52.6
13/12/21,47
14/12/21,41.1
15/12/21,40.6
16/12/21,44.4
17/12/21,45
18/12/21,42.7
19/12/21,39.7
20/12/21,38.6
21/12/21,37
22/12/21,32.3
23/12/21,44.2
24/12/21,50.1
25/12/21,50.3
26/12/21,52.8
27/12/21,54.1
28/12/21,54.3
29/12/21,56
30/12/21,56.4
31/12/21,51.4
01/01/22,51.2
02/01/22,55.4
03/01/22,54.4
04/01/22,49.1
05/01/22,39.4
06/01/22,39.1
07/01/22,47.1
08/01/22,49
09/01/22,46.9
10/01/22,48.3
11/01/22,46
12/01/22,40.3
13/01/22,41.5
14/01/22,33
15/01/22,31.9
16/01/22,37.4
17/01/22,41.2
18/01/22,41.1
19/01/22,41.9
20/01/22,43.1
21/01/22,37.5
22/01/22,36.1
23/01/22,38.3
24/01/22,36.5
25/01/22,33.4
26/01/22,34.1
27/01/22,37.3
28/01/22,44.6
29/01/22,46.2
30/01/22,46.6
31/01/22,47.1
01/02/22,47.7
